#A	0.001 T/s
-1.2064	-0.99888
-1.2060	-0.99956
-1.2055	-0.99971
-1.2051	-1.0003
-1.2047	-0.99955
-1.2043	-1.0009
-1.2038	-0.98729
-1.2034	-0.98819
-1.2030	-0.98613
-1.2026	-0.98732
-1.2021	-0.98747
-1.2017	-0.98896
-1.2013	-0.98877
-1.2009	-0.99133
-1.2004	-0.99103
-1.2000	-0.99003
-1.1996	-0.99094
-1.1991	-0.99192
-1.1987	-0.99212
-1.1983	-0.99330
-1.1979	-0.99453
-1.1974	-0.99318
-1.1970	-0.99459
-1.1966	-0.99420
-1.1962	-0.99474
-1.1957	-0.99526
-1.1953	-0.99575
-1.1949	-0.99661
-1.1945	-0.99728
-1.1940	-0.99839
-1.1936	-0.99788
-1.1932	-0.99787
-1.1928	-0.99964
-1.1923	-0.99886
-1.1919	-0.99931
-1.1915	-0.99983
-1.1911	-1.0007
-1.1906	-1.0007
-1.1902	-1.0006
-1.1898	-0.98591
-1.1894	-0.98612
-1.1889	-0.98545
-1.1885	-0.98815
-1.1881	-0.98874
-1.1876	-0.98749
-1.1872	-0.98978
-1.1868	-0.98948
-1.1864	-0.98957
-1.1859	-0.99171
-1.1855	-0.99313
-1.1851	-0.99190
-1.1847	-0.99211
-1.1842	-0.99259
-1.1838	-0.99293
-1.1834	-0.99449
-1.1830	-0.99513
-1.1825	-0.99405
-1.1821	-0.99476
-1.1817	-0.99525
-1.1813	-0.99640
-1.1808	-0.99595
-1.1804	-0.99508
-1.1800	-0.99628
-1.1795	-0.99782
-1.1791	-0.99848
-1.1787	-0.99788
-1.1783	-0.99948
-1.1778	-0.99832
-1.1774	-0.99900
-1.1770	-1.0016
-1.1766	-1.0016
-1.1761	-1.0015
-1.1757	-0.98467
-1.1753	-0.98640
-1.1749	-0.98697
-1.1744	-0.98649
-1.1740	-0.98710
-1.1736	-0.98911
-1.1732	-0.98960
-1.1727	-0.99012
-1.1723	-0.98995
-1.1719	-0.99006
-1.1715	-0.99055
-1.1710	-0.99071
-1.1706	-0.99220
-1.1702	-0.99181
-1.1698	-0.99320
-1.1693	-0.99334
-1.1689	-0.99404
-1.1685	-0.99360
-1.1680	-0.99485
-1.1676	-0.99531
-1.1672	-0.99625
-1.1668	-0.99694
-1.1663	-0.99597
-1.1659	-0.99689
-1.1655	-0.99673
-1.1651	-0.99777
-1.1646	-0.99993
-1.1642	-0.99961
-1.1638	-1.0012
-1.1634	-1.0024
-1.1629	-1.0009
-1.1625	-0.99881
-1.1621	-1.0006
-1.1617	-0.98674
-1.1612	-0.98765
-1.1608	-0.98638
-1.1604	-0.98654
-1.1600	-0.98811
